"PSRC_trips","App_data_estimated_trips","TAZ"
2194,1221.8,978
4320,1928.86,979
2823,2019.19,980
2494,1044.47,981
3573,2723.7,982
11896,43167.06,983
34,412.2,984
87,218.97,985
5928,1953.11,986
2632,841.57,987
1851,668,988
3663,2190.63,989
2895,1930.75,990
4120,2663.85,991
4520,1699.69,992
4954,1905.05,993
3804,3448.15,994
5599,1521.3,995
2814,1202.75,996
6050,2573.08,997
3822,1600.65,998
3483,1120.46,999
2432,807.3,1000
1291,534.42,1001
6995,3623.48,1002
687,763.19,1003
5338,2540.44,1004
2725,1381.16,1005
2318,1541.69,1006
830,952.6,1007
192,635.07,1008
2553,1222.84,1009
1536,779.03,1010
12136,5093.08,1011
11212,3145.51,1012
5339,2093.9,1013
1934,1406.54,1014
753,852.4,1015
1722,1705.85,1016
5422,3216.43,1017
3073,2543.67,1018
2276,1542.8,1019
5183,2965.17,1020
2560,1859.03,1021
3681,2517.58,1022
3848,2142.39,1023
837,757.9,1024
4158,3472.14,1025
4806,4086.92,1026
112,211.42,1027
2432,1437.9,1028
5885,2552.34,1029
3493,2124.27,1030
3562,3501.88,1031
1736,736.85,1032
1770,1716.99,1033
4657,1725.6,1034
4249,853.31,1035
9400,2502.87,1036
4392,2813.85,1037
4749,1948.46,1038
2433,1128.64,1039
4351,2544.65,1040
9023,3214.17,1041
7234,4049.19,1042
3204,1363.7,1043
4283,1569.88,1044
8589,5266.57,1045
12187,5523.04,1046
5406,2693.89,1047
3338,1235.44,1048
3257,2366.14,1049
2211,865.62,1050
3510,2189.62,1051
4517,3329.86,1052
7768,3933.65,1053
6209,4800.5,1054
4049,3067.22,1055
197,298.47,1056
1026,716.83,1057
4355,1345.19,1058
3552,1654.08,1059
4239,2764.99,1060
7509,4496.09,1061
12161,5278.9,1062
7847,3380.6,1063
2877,1475.39,1064
3236,1298.08,1065
3606,1529.98,1066
1811,956.2,1067
3043,1157.64,1068
2149,600.31,1069
5598,2810.71,1070
3153,2241.16,1071
12796,1999.87,1072
9486,2777.4,1073
3420,1664.63,1074
3584,1628.47,1075
6350,2626.02,1076
5386,2171.03,1077
3720,1513.71,1078
1961,977.08,1079
6895,3657.26,1080
4188,2146.74,1081
2340,2110.45,1082
2771,717.26,1083
6912,2462.39,1084
3988,1336.82,1085
6357,2820.07,1086
6479,2330.44,1087
4068,1221.69,1088
10888,3479.09,1089
5025,2239.86,1090
4778,1793.02,1091
8413,3574.9,1092
3816,1946.83,1093
7217,2902.08,1094
5548,1713.48,1095
5014,1630.81,1096
4761,1752.09,1097
3083,1255.17,1098
1682,1033.98,1099
2062,954.05,1100
3636,1015.06,1101
1803,876.43,1102
5578,3481.13,1103
10591,10052.07,1104
7761,5243.89,1105
4611,1511.9,1106
